tipe_iphone,kapasitas_storage,battery_health,garansi_status,sinyal_status,bluetooth_status,biometrik_status,part_status,kamera_status,beli_di,icloud_status,jangka_pakai,skor_persen,label_kelayakan
0,512,79,0,3,2,2,1,2,1,1,0,10,0
4,128,57,0,3,0,2,2,1,1,0,0,10,0
1,64,89,2,0,0,1,2,2,0,0,1,25,0
2,64,54,2,1,1,2,3,0,0,0,0,10,0
0,512,61,2,2,2,0,1,2,1,0,1,10,0
1,256,50,2,2,0,1,0,2,0,1,1,10,0
1,128,64,1,2,0,2,0,1,1,1,1,10,0
3,128,74,1,1,2,2,1,2,0,2,0,10,0
4,64,67,2,3,1,1,1,0,1,0,0,10,0
2,512,87,0,2,2,0,3,2,0,0,0,10,0
0,64,91,0,2,0,1,0,0,0,0,0,45,0
3,64,95,1,3,2,1,0,0,0,2,0,10,0
4,512,75,1,2,1,2,2,1,1,2,1,10,0
3,256,89,2,3,1,2,2,0,1,2,0,10,0
4,128,52,2,2,1,1,0,0,0,2,0,10,0
4,256,71,2,3,1,1,1,1,0,0,1,10,0
2,512,75,2,0,1,2,1,1,0,0,1,20,0
4,512,68,2,1,1,1,2,1,0,0,1,10,0
3,128,93,0,2,1,0,1,0,1,2,0,10,0
4,256,93,0,3,0,1,3,1,0,1,0,10,0
2,128,96,2,0,2,0,1,0,0,1,0,20,0
2,64,88,0,3,1,1,1,0,1,0,1,10,0
3,64,85,2,2,2,1,1,0,0,1,1,10,0
1,64,70,2,2,2,1,2,1,0,2,0,10,0
1,256,90,1,2,0,2,1,0,0,2,0,10,0
4,64,97,0,2,2,2,0,0,1,0,1,10,0
0,128,75,0,2,2,2,2,1,0,1,0,10,0
4,256,62,1,0,1,2,1,1,0,0,1,15,0
3,128,85,0,3,1,2,1,0,1,2,0,10,0
3,512,73,1,3,2,2,3,0,1,1,1,10,0
3,256,90,0,2,1,1,1,0,0,2,1,10,0
3,128,75,2,3,0,0,2,1,1,1,0,10,0
3,128,70,1,0,2,2,1,1,1,0,0,10,0
2,256,67,2,2,2,2,2,2,1,2,1,10,0
1,512,64,2,1,0,1,0,1,0,0,0,25,0
3,256,64,0,0,0,2,1,0,0,2,1,15,0
0,64,55,1,2,0,1,2,1,1,1,0,10,0
0,64,92,2,3,0,2,0,1,1,1,0,10,0
0,512,80,2,0,2,0,2,2,0,2,1,10,0
0,128,77,1,2,1,2,1,2,0,2,0,10,0
2,128,57,0,3,1,2,2,0,0,2,0,10,0
0,128,78,2,3,1,1,1,2,0,1,1,10,0
3,256,70,0,2,1,2,2,0,1,0,0,10,0
4,256,66,1,0,0,1,0,0,1,0,0,45,0
0,512,98,0,2,1,0,1,0,0,2,1,10,0
2,64,73,1,2,1,2,0,0,0,0,1,10,0
2,128,99,0,2,2,1,1,2,1,0,1,10,0
0,64,85,0,2,2,0,2,0,0,0,0,25,0
4,256,80,2,2,1,0,0,0,1,0,1,20,0
0,256,96,0,3,0,1,1,1,0,1,1,10,0
2,256,83,2,2,1,1,0,0,0,1,1,10,0
1,64,51,1,0,0,2,3,1,0,1,0,10,0
3,512,91,1,1,2,0,0,2,1,2,0,10,0
2,512,52,2,2,0,0,1,1,1,2,0,10,0
0,256,79,0,0,1,1,2,2,1,1,0,10,0
3,128,57,1,1,2,0,3,2,1,0,1,10,0
0,64,56,1,0,1,1,3,1,0,1,1,10,0
0,256,61,1,3,1,2,3,2,0,0,1,10,0
1,64,68,2,3,0,1,0,2,1,0,0,10,0
3,64,75,1,1,1,2,1,2,1,1,1,10,0
3,512,77,1,1,1,1,0,1,1,2,0,10,0
1,256,64,1,1,2,2,3,2,0,0,1,10,0
2,512,63,1,3,0,0,3,0,0,0,0,30,0
0,256,97,2,3,0,1,3,1,1,1,0,10,0
4,64,63,2,0,2,1,0,0,1,0,1,10,0
0,512,52,0,3,2,1,3,1,1,0,1,10,0
0,64,99,1,1,0,2,2,0,0,1,0,15,0
2,256,78,2,2,2,1,1,2,0,0,0,10,0
0,128,55,0,2,0,1,3,0,0,2,1,10,0
1,512,98,0,1,2,0,1,0,1,2,1,25,0
1,512,72,1,3,0,1,0,0,0,2,0,10,0
3,64,77,0,1,0,1,3,1,0,1,1,10,0
4,64,63,2,3,2,1,2,2,0,1,0,10,0
0,128,63,0,2,1,1,3,2,0,2,0,10,0
0,512,69,0,0,1,0,2,0,1,1,1,10,0
2,256,62,2,3,2,1,2,0,0,1,1,10,0
1,256,76,0,0,0,1,1,1,0,1,1,20,0
4,512,84,0,2,2,0,1,0,1,2,1,10,0
3,512,94,0,0,1,2,0,0,0,1,0,10,0
1,512,51,0,0,0,2,2,0,1,1,0,10,0
3,128,90,1,1,0,0,2,1,1,2,1,15,0
2,256,94,1,0,0,0,1,0,0,2,1,60,1
2,256,89,2,2,1,2,0,0,0,1,0,10,0
0,64,97,0,3,1,1,1,0,0,1,0,10,0
4,64,73,2,0,0,2,1,1,1,0,0,15,0
3,512,78,1,3,0,1,0,1,1,2,1,10,0
1,64,52,0,1,1,0,2,2,1,0,0,10,0
2,128,94,0,2,1,0,2,1,1,0,0,10,0
0,256,53,1,2,0,0,0,2,0,0,1,35,0
0,256,99,0,3,2,2,2,2,0,0,0,10,0
3,64,51,0,2,2,0,0,0,1,2,1,10,0
2,512,69,1,1,2,2,0,2,0,2,1,10,0
4,64,64,2,3,1,1,1,0,1,2,0,10,0
2,512,98,2,2,2,1,2,1,0,0,1,10,0
3,128,81,0,1,2,1,2,1,1,2,0,10,0
3,256,91,1,1,1,0,0,2,1,2,1,10,0
2,128,50,2,0,2,1,1,0,1,2,0,10,0
3,256,87,2,2,0,0,1,2,0,1,0,10,0
2,128,84,0,3,1,2,2,2,0,0,0,10,0
1,64,100,2,0,0,0,3,1,1,2,0,10,0
2,128,56,1,3,2,1,0,2,1,2,0,10,0
2,128,94,2,0,0,0,2,0,1,0,1,55,1
3,64,62,1,1,1,0,2,1,0,0,0,20,0
3,256,98,1,0,2,2,3,1,1,2,1,10,0
0,256,50,0,0,1,0,3,2,0,1,1,10,0
0,64,63,2,0,2,1,1,2,0,2,1,10,0
1,128,78,0,2,1,0,1,2,1,1,0,10,0
0,128,52,2,0,1,0,1,0,0,0,0,40,0
2,128,95,0,1,0,1,1,2,1,0,1,50,1
3,512,73,0,3,1,0,0,0,1,1,0,10,0
0,256,50,0,2,1,2,3,2,0,0,0,10,0
0,128,97,2,1,0,1,2,2,0,1,0,10,0
1,256,59,0,2,2,1,1,1,0,2,1,10,0
1,128,62,1,3,2,0,2,1,0,2,1,10,0
2,64,85,2,3,1,2,0,0,0,0,0,10,0
3,64,58,1,3,0,2,1,2,0,0,0,10,0
1,256,63,0,2,2,1,0,0,0,0,1,10,0
0,256,85,0,2,0,1,1,1,1,1,0,10,0
3,64,59,1,3,1,0,2,1,0,0,1,10,0
3,512,89,0,3,0,1,0,1,1,2,0,10,0
0,64,72,2,1,1,2,1,1,0,2,1,10,0
1,128,84,1,3,2,0,2,0,0,2,1,10,0
0,512,56,2,0,2,0,2,2,1,1,0,10,0
3,64,91,2,2,2,2,2,0,1,2,1,10,0
4,512,84,2,1,2,2,1,2,1,2,1,10,0
4,512,51,0,2,0,1,2,1,1,0,1,10,0
2,512,64,0,3,0,2,2,0,0,2,0,10,0
0,256,58,1,0,0,0,1,2,0,0,0,65,1
0,64,96,1,3,1,0,0,2,1,2,0,10,0
2,256,66,2,2,2,2,2,1,0,2,1,10,0
2,256,88,0,1,2,1,1,2,0,0,0,35,0
2,128,67,0,2,2,0,0,2,1,0,1,10,0
3,128,64,0,1,0,1,2,0,1,2,0,10,0
0,512,67,1,0,0,2,1,1,0,1,0,10,0
3,512,73,0,3,2,1,3,1,1,1,1,10,0
2,128,72,2,3,1,0,1,2,0,0,0,10,0
0,128,61,2,0,0,2,2,2,1,0,1,10,0
3,64,72,2,2,2,0,0,1,0,2,0,10,0
3,512,70,0,0,2,0,0,1,1,1,1,10,0
2,512,75,2,3,2,2,0,1,1,1,0,10,0
0,128,57,2,1,1,1,2,2,1,2,0,10,0
2,64,79,1,3,2,2,2,2,1,1,1,10,0
0,128,83,1,2,0,0,0,1,0,2,0,15,0
4,128,51,0,1,1,0,0,1,0,2,1,10,0
1,256,54,0,2,1,0,0,2,0,0,0,10,0
1,512,80,0,3,2,2,0,2,0,2,0,10,0
1,64,82,0,3,0,2,1,2,1,1,0,10,0
2,256,53,0,1,0,2,2,0,0,1,1,10,0
4,512,55,1,2,2,2,3,1,1,2,1,10,0
0,128,72,1,1,2,1,0,0,0,0,0,30,0
3,64,94,1,1,0,0,1,0,1,1,1,50,1
0,512,68,2,2,1,1,3,2,0,0,1,10,0
3,128,92,2,1,1,0,3,1,1,2,1,10,0
0,256,94,1,0,2,0,0,2,0,2,0,20,0
4,64,57,1,1,2,1,0,2,1,1,0,10,0
3,512,88,0,3,0,2,1,2,1,1,0,10,0
2,256,62,1,2,0,0,0,2,0,0,0,35,0
0,128,50,0,3,0,2,3,1,0,2,0,10,0
0,128,55,1,0,0,1,0,1,1,0,1,30,0
3,512,56,0,0,2,0,1,2,0,1,0,10,0
2,128,97,1,1,2,2,1,0,0,1,0,10,0
2,64,76,0,3,0,1,1,2,1,0,0,20,0
4,512,64,2,1,2,0,1,0,1,2,0,10,0
2,256,83,2,1,2,1,1,0,1,1,0,10,0
2,512,72,0,3,0,2,0,2,0,2,0,10,0
2,512,97,0,0,1,0,2,1,0,1,0,10,0
1,256,98,2,0,1,0,1,2,1,2,1,10,0
4,128,73,1,0,0,0,2,1,0,1,1,10,0
0,256,64,0,2,1,1,0,0,0,2,1,10,0
3,64,84,1,2,2,1,1,1,0,2,1,10,0
0,128,53,2,1,1,1,2,1,1,1,1,10,0
4,512,93,2,2,0,1,2,1,0,2,1,10,0
3,128,86,0,2,0,2,3,2,0,2,0,10,0
4,128,66,1,3,1,1,2,0,1,1,1,10,0
2,64,80,2,1,1,1,3,0,0,0,0,15,0
3,128,87,1,1,2,1,3,1,1,1,1,10,0
2,128,59,2,3,1,2,2,0,0,0,0,10,0
0,128,99,0,0,1,2,3,1,0,1,1,10,0
0,512,76,1,3,1,0,2,1,1,0,1,10,0
3,128,91,1,0,2,1,3,1,1,0,0,10,0
3,256,55,0,1,1,0,1,1,1,1,1,10,0
4,128,55,0,1,2,0,1,2,0,2,1,10,0
4,64,64,0,2,2,2,1,1,0,1,0,10,0
2,128,53,0,2,0,2,2,0,1,0,1,10,0
3,128,97,2,3,0,0,2,2,1,0,0,10,0
0,512,89,1,2,2,0,0,0,0,0,0,45,0
4,256,56,2,1,2,1,2,2,0,1,1,10,0
4,128,100,0,1,2,2,0,1,1,0,1,25,0
0,256,98,2,0,0,2,0,2,0,2,1,10,0
4,64,94,2,2,2,0,1,0,1,2,1,10,0
2,512,96,1,0,0,2,2,2,0,2,0,10,0
3,256,75,1,1,0,0,2,2,0,1,1,25,0
0,512,80,1,2,2,0,0,1,0,2,1,10,0
3,128,51,0,0,2,2,0,1,0,1,1,10,0
4,64,77,0,1,2,1,2,2,0,0,1,15,0
4,512,91,1,0,0,2,0,1,1,1,1,10,0
0,128,62,2,2,1,0,2,1,1,2,0,10,0
2,256,67,1,0,2,0,2,2,1,1,0,10,0
1,64,79,0,0,1,1,3,0,1,1,1,10,0
0,64,60,2,1,1,0,0,1,1,1,0,10,0
1,256,62,0,2,1,1,1,2,1,1,1,10,0
1,256,100,1,3,1,2,2,2,0,0,0,10,0
2,64,73,1,3,1,1,0,2,1,1,1,10,0
1,512,78,2,0,0,0,0,0,0,1,1,45,0
1,64,54,1,1,0,0,0,0,1,1,0,30,0
2,256,84,0,2,0,1,2,0,1,0,0,15,0
1,512,68,0,1,1,2,2,1,1,0,0,10,0
1,128,62,0,2,0,1,2,2,0,0,0,10,0
1,64,54,2,1,2,0,0,2,0,1,1,10,0
0,256,93,0,3,1,2,1,0,0,1,0,10,0
0,128,63,1,3,2,1,3,1,1,0,0,10,0
0,64,87,2,3,1,1,1,1,1,1,1,10,0
2,64,71,0,1,1,1,2,2,0,1,0,10,0
4,512,58,0,1,1,0,2,0,1,0,0,25,0
1,256,98,1,0,1,0,2,2,1,0,1,30,0
1,128,89,1,3,2,0,1,0,1,2,0,10,0
2,64,75,2,0,1,2,1,0,1,0,0,25,0
1,512,94,0,1,1,2,2,2,1,0,1,10,0
0,128,54,0,2,0,2,3,0,0,0,1,10,0
4,128,78,1,3,1,0,3,0,0,0,1,25,0
3,64,71,2,3,1,2,0,0,1,1,1,10,0
1,128,98,1,3,1,2,1,0,1,0,0,10,0
0,64,52,1,3,1,1,3,1,0,1,0,10,0
3,512,77,2,3,1,0,2,0,1,1,1,10,0
4,512,87,0,1,1,1,1,0,1,0,1,40,0
3,128,63,0,3,2,0,0,0,1,0,0,15,0
0,64,96,0,3,2,0,0,2,1,2,0,10,0
3,256,63,2,0,1,2,1,1,1,1,0,10,0
2,512,92,2,2,2,1,2,0,1,0,1,10,0
3,64,60,2,3,0,1,3,0,0,1,1,10,0
1,64,58,2,0,0,2,1,2,0,2,1,10,0
1,64,87,2,1,1,1,2,1,1,0,1,10,0
2,128,96,1,0,1,1,1,1,0,2,1,10,0
0,256,93,0,3,2,0,0,1,1,1,1,10,0
1,128,55,2,0,0,1,1,0,0,2,1,10,0
4,512,50,0,0,1,1,2,1,1,2,1,10,0
1,128,74,2,1,0,0,2,2,0,1,1,10,0
1,64,65,0,0,2,2,0,2,1,1,0,10,0
0,128,64,1,1,1,0,2,0,0,1,0,10,0
3,64,83,0,1,1,2,2,0,1,1,0,10,0
1,256,66,0,0,1,2,0,0,1,1,1,10,0
2,128,52,2,3,0,0,2,0,1,1,0,10,0
3,128,52,0,2,2,0,2,2,0,2,1,10,0
4,128,86,1,0,0,2,1,0,1,1,1,25,0
0,64,66,1,0,0,0,1,0,1,1,0,30,0
4,64,98,1,0,1,0,1,0,1,1,0,25,0
3,128,87,2,2,2,1,1,0,0,1,0,10,0
3,128,50,2,2,2,0,3,2,1,0,0,10,0
3,256,56,2,1,1,0,1,1,0,2,1,10,0
4,256,75,2,2,2,1,1,0,0,2,0,10,0
3,512,96,2,2,1,2,1,2,1,0,1,10,0
4,256,88,1,0,1,2,0,1,1,2,1,10,0
3,256,68,0,1,2,0,1,2,1,2,1,10,0
2,256,79,1,3,2,0,3,1,1,1,0,10,0
3,64,92,2,1,2,2,3,2,0,2,1,10,0
4,256,63,1,2,2,0,3,0,0,0,1,10,0
1,256,62,0,2,0,2,2,1,1,2,1,10,0
3,128,69,2,0,1,2,0,2,1,0,1,10,0
1,64,75,1,3,1,1,1,0,0,0,1,20,0
2,512,76,1,3,1,1,1,0,1,2,1,10,0
0,512,74,0,3,1,0,2,1,0,1,1,10,0
2,256,58,2,2,0,0,0,2,0,0,1,20,0
3,512,90,2,2,2,2,2,0,0,2,1,10,0
1,512,97,0,1,2,0,3,2,0,2,0,10,0
1,512,61,0,2,2,1,2,0,0,1,0,10,0
4,256,59,0,3,1,2,0,0,0,1,0,10,0
1,512,55,0,3,0,2,2,0,1,2,1,10,0
4,256,99,2,3,0,0,0,1,1,1,1,10,0
0,128,83,2,0,2,2,2,2,1,0,1,10,0
3,128,90,1,1,1,2,0,1,1,2,0,10,0
4,512,68,1,1,2,2,1,1,1,1,0,10,0
0,128,55,1,2,1,1,3,1,0,2,0,10,0
1,256,51,2,0,2,2,0,1,0,1,0,10,0
1,128,64,2,1,2,1,2,1,0,0,1,10,0
0,512,66,2,0,0,2,2,0,1,2,1,10,0
1,256,65,1,0,1,0,3,0,0,1,0,10,0
0,64,77,0,2,0,0,1,0,0,0,1,70,1
4,256,70,0,0,0,2,1,1,1,0,0,30,0
4,128,57,0,1,2,0,1,0,0,1,1,15,0
0,64,59,0,2,1,1,0,0,1,2,1,10,0
4,256,59,0,1,1,2,3,0,0,1,0,10,0
4,64,99,2,0,2,1,0,1,1,1,1,10,0
4,64,59,1,0,2,2,0,2,0,0,0,15,0
2,64,58,0,3,2,1,0,2,1,1,0,10,0
3,256,77,0,2,1,0,0,0,1,1,0,10,0
1,128,73,0,2,2,1,2,1,0,2,0,10,0
2,256,68,2,3,2,1,2,2,1,1,1,10,0
4,128,82,0,1,0,0,2,0,1,2,1,30,0
0,256,53,1,1,2,0,0,1,0,1,0,10,0
4,256,52,2,0,2,2,1,2,0,0,1,10,0
3,256,91,2,2,1,2,2,2,0,1,1,10,0
4,128,61,2,0,2,1,3,1,0,2,0,10,0
0,256,67,0,3,1,2,2,2,0,2,0,10,0
3,64,72,0,0,0,1,0,0,0,1,0,15,0
4,256,69,0,1,0,2,0,0,1,1,1,10,0
3,64,55,0,1,1,0,0,1,0,1,1,10,0
1,512,83,1,3,2,0,2,1,0,2,0,10,0
1,512,91,2,1,1,0,1,0,0,2,0,20,0
4,128,51,0,3,2,0,0,1,1,0,1,10,0
3,128,79,1,2,2,1,3,2,0,1,0,10,0
0,512,58,2,3,2,0,0,2,1,2,0,10,0
4,256,76,2,3,1,0,1,2,0,2,1,10,0
1,256,91,2,3,0,0,1,2,1,2,1,10,0
1,256,83,0,1,1,0,1,1,0,2,0,20,0
4,512,89,2,2,2,2,0,2,0,0,0,10,0
3,64,73,0,0,1,1,3,1,1,2,1,10,0
1,128,98,1,2,0,1,3,0,0,2,0,10,0
3,64,66,2,1,1,2,0,2,0,1,0,10,0
1,512,78,1,2,0,2,2,1,1,0,0,10,0
1,64,85,0,2,0,1,2,0,0,0,0,25,0
2,256,99,0,3,2,1,3,2,1,0,0,10,0
1,256,61,0,3,0,2,2,2,0,1,0,10,0
0,64,80,2,1,1,0,2,2,0,0,1,25,0
4,512,98,2,3,1,1,3,1,1,2,0,10,0
4,64,58,1,1,2,2,2,1,0,0,1,10,0
3,256,68,0,0,1,0,2,0,1,2,1,10,0
1,256,95,1,2,2,0,0,2,0,0,0,30,0
0,512,95,0,0,1,2,2,0,1,0,0,20,0
3,64,66,0,0,1,1,3,1,0,2,1,10,0
2,256,51,1,2,0,1,0,2,1,1,1,10,0
3,256,89,0,3,0,0,3,0,0,1,0,10,0
3,64,54,1,0,0,2,0,2,0,1,0,10,0
1,64,88,2,2,1,0,3,1,1,2,0,10,0
2,128,97,1,0,2,0,1,0,1,2,1,25,0
3,512,65,1,0,2,0,0,2,0,0,0,40,0
0,512,66,0,2,2,2,0,2,1,0,0,10,0
0,64,76,1,3,0,1,0,2,1,2,0,10,0
4,512,56,2,1,1,0,3,0,1,0,1,10,0
2,256,57,2,2,0,1,1,1,1,0,1,10,0
2,64,57,2,1,1,1,0,1,0,1,1,10,0
4,64,72,2,2,1,2,1,0,1,2,0,10,0
3,64,81,1,2,1,1,2,2,0,1,0,10,0
2,128,92,2,1,0,1,0,0,1,0,0,50,1
0,512,96,1,1,1,0,2,0,0,0,1,55,1
0,128,67,1,3,0,2,0,1,1,1,0,10,0
1,256,87,0,2,0,2,1,0,0,2,1,10,0
2,512,61,1,2,1,0,2,2,0,0,0,10,0
3,128,64,1,2,1,0,3,1,0,2,0,10,0
4,64,77,0,3,1,1,0,1,1,1,0,10,0
4,128,87,2,1,0,1,0,2,1,0,1,35,0
3,64,99,2,2,1,2,1,0,1,1,0,10,0
1,128,80,1,1,1,2,3,1,1,2,0,10,0
4,128,58,0,3,2,1,0,0,0,0,1,10,0
2,128,57,1,0,2,0,2,2,1,2,1,10,0
1,64,95,1,1,2,2,3,1,0,2,1,10,0
2,128,68,2,3,1,0,3,2,1,0,1,10,0
0,512,100,0,0,0,1,1,1,0,1,1,20,0
1,512,57,1,2,2,2,2,2,0,0,0,10,0
4,512,83,2,2,0,2,2,0,0,2,0,10,0
1,64,53,1,1,2,1,0,2,1,2,0,10,0
1,64,80,2,0,2,1,0,2,0,2,1,10,0
1,512,87,0,3,0,0,3,2,0,0,1,35,0
1,512,52,1,2,2,0,3,2,1,2,1,10,0
2,512,84,0,2,0,1,1,2,1,0,0,20,0
0,256,68,2,0,1,1,3,0,0,0,1,10,0
3,512,92,0,3,1,1,1,0,1,2,0,10,0
1,128,78,0,2,0,2,1,1,0,2,1,10,0
4,256,59,0,2,0,1,2,2,1,2,0,10,0
1,256,61,1,1,1,2,2,0,0,1,0,10,0
4,64,95,2,3,0,1,3,2,1,1,1,10,0
2,128,79,0,2,1,2,3,2,0,1,1,10,0
4,64,79,1,0,1,0,2,1,1,2,1,10,0
3,64,67,2,2,0,0,3,2,1,2,0,10,0
0,128,73,2,3,2,2,2,0,1,1,1,10,0
4,64,81,2,1,0,0,0,1,1,0,0,60,1
4,128,58,0,2,1,0,3,1,1,1,1,10,0
0,128,96,0,0,2,2,1,1,1,1,1,10,0
3,64,73,0,2,2,1,0,2,0,0,0,10,0
1,512,75,2,0,1,1,0,1,0,1,1,10,0
4,64,52,2,3,2,2,3,0,0,1,0,10,0
0,256,72,0,1,2,0,2,0,0,1,0,10,0
2,64,60,0,3,0,1,1,1,0,0,1,10,0
0,128,59,2,2,1,1,2,1,0,0,0,10,0
2,256,99,2,2,2,0,3,1,0,1,1,10,0
3,128,85,1,1,1,2,2,2,1,2,1,10,0
1,512,62,1,0,0,2,3,1,0,1,0,10,0
0,512,78,0,3,0,1,3,1,1,0,0,10,0
4,256,87,2,0,0,2,1,2,1,0,0,35,0
3,512,62,2,2,2,0,3,1,1,0,0,10,0
